Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 59942
[  5]  33.00-34.00  sec   123 KBytes  1.01 Mbits/sec  0.027 ms  0/87 (0%)  
[  5]  34.00-35.00  sec   122 KBytes   996 Kbits/sec  0.017 ms  0/86 (0%)  
[  5]  35.00-36.00  sec   122 KBytes   996 Kbits/sec  0.042 ms  0/86 (0%)  
[  5]  36.00-37.00  sec   123 KBytes  1.01 Mbits/sec  0.028 ms  0/87 (0%)  
[  5]  37.00-38.00  sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5]  38.00-39.00  sec   122 KBytes   996 Kbits/sec  0.031 ms  0/86 (0%)  
[  5]  39.00-40.00  sec   123 KBytes  1.01 Mbits/sec  0.035 ms  0/87 (0%)  
[  5]  40.00-41.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  41.00-42.00  sec   122 KBytes   996 Kbits/sec  0.031 ms  0/86 (0%)  
[  5]  42.00-43.00  sec   123 KBytes  1.01 Mbits/sec  0.020 ms  0/87 (0%)  
[  5]  43.00-44.00  sec   122 KBytes   996 Kbits/sec  0.018 ms  0/86 (0%)  
[  5]  44.00-45.00  sec   122 KBytes   996 Kbits/sec  0.035 ms  0/86 (0%)  
[  5]  45.00-46.00  sec   123 KBytes  1.01 Mbits/sec  0.021 ms  0/87 (0%)  
[  5]  46.00-47.00  sec   122 KBytes   996 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  47.00-48.00  sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]  48.00-49.00  sec   123 KBytes  1.01 Mbits/sec  0.014 ms  0/87 (0%)  
[  5]  49.00------------------------------------------------------------
Server listening on 5203 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 34426
[  5] local 192.168.5.2 port 5203 connected to 192.168.4.2 port 50343
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   123 KBytes  1.01 Mbits/sec  0.025 ms  0/87 (0%)  
[  5]   1.00-2.00   sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]   2.00-3.00   sec   122 KBytes   996 Kbits/sec  0.020 ms  0/86 (0%)  
[  5]   3.00-4.00   sec   123 KBytes  1.01 Mbits/sec  0.041 ms  0/87 (0%)  
[  5]   4.00-5.00   sec   122 KBytes   996 Kbits/sec  0.139 ms  0/86 (0%)  
[  5]   5.00-6.00   sec   122 KBytes   996 Kbits/sec  0.048 ms  0/86 (0%)  
[  5]   6.00-7.00   sec   123 KBytes  1.01 Mbits/sec  0.036 ms  0/87 (0%)  
[  5]   7.00-8.00   sec   122 KBytes   996 Kbits/sec  0.020 ms  0/86 (0%)  
[  5]   8.00-9.00   sec   122 KBytes   997 Kbits/sec  0.021 ms  0/86 (0%)  
[  5]   9.00-10.00  sec   123 KBytes  1.01 Mbits/sec  0.026 ms  0/87 (0%)  
[  5]  10.00-11.00  sec   122 KBytes   997 Kbits/sec  0.039 ms  0/86 (0%)  
[  5]  11.00-12.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  12.00-13.00  sec   123 KBytes  1.01 Mbits/sec  0.030 ms  0/87 (0%)  
[  5]  13.00-14.00  sec   122 KBytes   996 Kbits/sec  0.021 ms  0/86 (0%)  
[  5]  14.00-15.00  sec   122 KBytes   996 Kbits/sec  0.014 ms  0/86 (0%)  
[  5]  15.00-16.00  sec   123 KBytes  1.01 Mbits/sec  0.028 ms  0/87 (0%)  
[  5]  16.00-17.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  17.00-18.00  sec   122 KBytes   997 Kbits/sec  0.042 ms  0/86 (0%)  
[  5]  18.00-19.00  sec   123 KBytes  1.01 Mbits/sec  0.030 ms  0/87 (0%)  
[  5]  19.00-20.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  20.00-21.00  sec   122 KBytes   997 Kbits/sec  0.026 ms  0/86 (0%)  
[  5]  21.00-22.00  sec   123 KBytes  1.01 Mbits/sec  0.026 ms  0/87 (0%)  
[  5]  22.00-23.00  sec   122 KBytes   996 Kbits/sec  0.035 ms  0/86 (0%)  
[  5]  23.00-24.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  24.00-25.00  sec   123 KBytes  1.01 Mbits/sec  0.036 ms  0/87 (0%)  
[  5]  25.00-26.00  sec   122 KBytes   996 Kbits/sec  0.023 ms  0/86 (0%)  
[  5]  26.00-27.00  sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5]  27.00-28.00  sec   123 KBytes  1.01 Mbits/sec  0.021 ms  0/87 (0%)  
[  5]  28.00-29.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  29.00-30.00  sec   122 KBytes   997 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  30.00-31.00  sec   123 KBytes  1.01 Mbits/sec  0.038 ms  0/87 (0%)  
[  5]  31.00-32.00  sec   122 KBytes   996 Kbits/sec  0.042 ms  0/86 (0%)  
[  5]  32.00-33.00  sec   122 KBytes   997 Kbits/sec  0.061 ms  0/86 (0%)  
[  5]  33.00-34.00  sec   123 KBytes  1.01 Mbits/sec  0.022 ms  0/87 (0%)  
[  5]  34.00-35.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  35.00-36.00  sec   122 KBytes   996 Kbits/sec  0.039 ms  0/86 (0%)  
[  5]  36.00-37.00  sec   123 KBytes  1.01 Mbits/sec  0.033 ms  0/87 (0%)  
[  5]  37.00-38.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  38.00-39.00  sec   122 KBytes   996 Kbits/sec  0.038 ms  0/86 (0%)  
[  5]  39.00-40.00  sec   123 KBytes  1.01 Mbits/sec  0.045 ms  0/87 (0%)  
[  5]  40.00-41.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  41.00-42.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  42.00-43.00  sec   123 KBytes  1.01 Mbits/sec  0.020 ms  0/87 (0%)  
[  5]  43.00-44.00  sec   122 KBytes   996 Kbits/sec  0.026 ms  0/86 (0%)  
[  5]  44.00-45.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  45.00-46.00  sec   123 KBytes  1.01 Mbits/sec  0.030 ms  0/87 (0%)  
[  5]  46.00-47.00  sec   122 KBytes   997 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  47.00-48.00  sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]  48.00-49.00  sec   122 KBytes   997 Kbits/sec  0.017 ms  0/86 (0%)  
[  5]  49.00-0-47.00  sec  2.08 MBytes  17.4 Mbits/sec  0.230 ms  221/1725 (13%)  
[  5]  47.00-48.00  sec  2.08 MBytes  17.4 Mbits/sec  0.149 ms  220/1725 (13%)  
[  5]  48.00-49.00  sec  2.08 MBytes  17.4 Mbits/sec  0.172 ms  223/1729 (13%)  
[  5]  49.00-50.00  sec  2.08 MBytes  17.4 Mbits/sec  0.217 ms  221/1725 (13%)  
[  5]  50.00-51.00  sec  2.08 MBytes  17.4 Mbits/sec  0.153 ms  220/1726 (13%)  
[  5]  51.00-52.00  sec  2.08 MBytes  17.4 Mbits/sec  0.140 ms  223/1729 (13%)  
[  5]  52.00-53.00  sec  2.08 MBytes  17.4 Mbits/sec  0.217 ms  221/1725 (13%)  
[  5]  53.00-54.00  sec  2.08 MBytes  17.4 Mbits/sec  0.138 ms  220/1725 (13%)  
[  5]  54.00-55.00  sec  2.08 MBytes  17.5 Mbits/sec  0.152 ms  223/1730 (13%)  
[  5]  55.00-56.00  sec  2.08 MBytes  17.4 Mbits/sec  0.218 ms  221/1724 (13%)  
[  5]  56.00-57.00  sec  2.08 MBytes  17.4 Mbits/sec  0.174 ms  220/1726 (13%)  
[  5]  57.00-58.00  sec  2.08 MBytes  17.4 Mbits/sec  0.223 ms  223/1729 (13%)  
[  5]  58.00-59.00  sec  2.08 MBytes  17.4 Mbits/sec  0.266 ms  221/1725 (13%)  
[  5]  59.00-60.00  sec  2.08 MBytes  17.4 Mbits/sec  0.141 ms  220/1725 (13%)  
[  5]  60.00-61.00  sec  2.08 MBytes  17.4 Mbits/sec  0.166 ms  223/1729 (13%)  
[  5]  61.00-62.00  sec  2.08 MBytes  17.4 Mbits/sec  0.209 ms  221/1725 (13%)  
[  5]  62.00-63.00  sec  2.08 MBytes  17.4 Mbits/sec  0.142 ms  220/1726 (13%)  
[  5]  63.00-64.00  sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  223/1729 (13%)  
[  5]  64.00-65.00  sec  2.08 MBytes  17.4 Mbits/sec  0.216 ms  221/1725 (13%)  
[  5]  65.00-66.00  sec  2.08 MBytes  17.4 Mbits/sec  0.155 ms  220/1725 (13%)  
[  5]  66.00-67.00  sec  2.08 MBytes  17.4 Mbits/sec  0.168 ms  223/1730 (13%)  
[  5]  67.00-68.00  sec  2.08 MBytes  17.4 Mbits/sec  0.222 ms  221/1724 (13%)  
[  5]  68.00-69.00  sec  2.08 MBytes  17.4 Mbits/sec  0.165 ms  221/1728 (13%)  
[  5]  69.00-70.00  sec  2.08 MBytes  17.4 Mbits/sec  0.163 ms  222/1727 (13%)  
[  5]  70.00-71.00  sec  2.08 MBytes  17.4 Mbits/sec  0.225 ms  221/1725 (13%)  
[  5]  71.00-72.00  sec  2.08 MBytes  17.4 Mbits/sec  0.117 ms  224/1729 (13%)  
[  5]  72.00-73.00  sec  2.08 MBytes  17.4 Mbits/sec  0.160 ms  219/1726 (13%)  
[  5]  73.00-74.00  sec  2.08 MBytes  17.4 Mbits/sec  0.214 ms  221/1725 (13%)  
[  5]  74.00-75.00  sec  2.08 MBytes  17.4 Mbits/sec  0.176 ms  221/1727 (13%)  
[  5]  75.00-76.00  sec  2.08 MBytes  17.4 Mbits/sec  0.326 ms  221/1726 (13%)  
[  5]  76.00-77.00  sec  2.08 MBytes  17.4 Mbits/sec  0.223 ms  222/1726 (13%)  
[  5]  77.00-78.00  sec  2.08 MBytes  17.5 Mbits/sec  0.137 ms  221/1727 (13%)  
[  5]  78.00-79.00  sec  2.08 MBytes  17.4 Mbits/sec  0.172 ms  222/1728 (13%)  
[  5]  79.00-80.00  sec  2.08 MBytes  17.4 Mbits/sec  0.134 ms  221/1724 (13%)  
[  5]  80.00-81.00  sec  2.08 MBytes  17.4 Mbits/sec  0.172 ms  221/1728 (13%)  
[  5]  81.00-82.00  sec  2.08 MBytes  17.4 Mbits/sec  0.185 ms  222/1727 (13%)  
[  5]  82.00-83.00  sec  2.08 MBytes  17.4 Mbits/sec  0.162 ms  221/1725 (13%)  
[  5]  83.00-84.00  sec  2.08 MBytes  17.4 Mbits/sec  0.183 ms  221/1727 (13%)  
[  5]  84.00-85.00  sec  2.08 MBytes  17.4 Mbits/sec  0.219 ms  223/1729 (13%)  
[  5]  85.00-86.00  sec  2.08 MBytes  17.4 Mbits/sec  0.158 ms  220/1724 (13%)  
