Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 39114
[  5]  58.00-59.00  sec  1.84 MBytes  15.4 Mbits/sec  0.380 ms  395/1726 (23%)  
[  5]  59.00-60.00  sec  1.84 MBytes  15.4 Mbits/sec  0.303 ms  393/1725 (23%)  
[  5]  60.00-61.00  sec  1.84 MBytes  15.5 Mbits/sec  0.307 ms  394/1728 (23%)  
[  5]  61.00-62.00  sec  1.84 MBytes  15.4 Mbits/sec  0.389 ms  395/1727 (23%)  
[  5]  62.00-63.00  sec  1.84 MBytes  15.4 Mbits/sec  0.381 ms  393/1725 (23%)  
[  5]  63.00-64.00  sec  1.84 MBytes  15.5 Mbits/sec  0.314 ms  394/1728 (23%)  
[  5]  64.00-65.00  sec  1.84 MBytes  15.4 Mbits/sec  0.393 ms  395/1727 (23%)  
[  5]  65.00-66.00  sec  1.84 MBytes  15.4 Mbits/sec  0.330 ms  393/1724 (23%)  
[  5]  66.00-67.00  sec  1.84 MBytes  15.5 Mbits/sec  0.317 ms  394/1728 (23%)  
[  5]  67.00-68.00  sec  1.84 MBytes  15.4 Mbits/sec  0.401 ms  395/1727 (23%)  
[  5]  68.00-69.00  sec  1.84 MBytes  15.4 Mbits/sec  0.323 ms  393/1725 (23%)  
[  5]  69.00-70.00  sec  1.84 MBytes  15.4 Mbits/sec  0.321 ms  394/1728 (23%)  
[  5]  70.00-71.00  sec  1.84 MBytes  15.4 Mbits/sec  0.393 ms  395/1727 (23%)  
[  5]  71.00-72.00  sec  1.84 MBytes  15.4 Mbits/sec  0.325 ms  393/1725 (23%)  
[  5]  72.00-73.00  sec  1.84 MBytes  15.4 Mbits/sec  0.367 ms  395/1728 (23%)  
[  5]  73.00-74.00  sec  1.84 MBytes  15.4 Mbits/sec  0.347 ms  392/1724 (23%)  
